method,backbone_id,seed_left,seed_right,seed_pair_identity_pct,seed_pair_diversity_pct
base,1198,42,43,77.36625514403292,22.633744855967073
base,1198,42,44,76.5432098765432,23.456790123456795
base,1198,43,44,78.60082304526749,21.399176954732514
base,1209,42,43,73.46938775510205,26.530612244897956
base,1209,42,44,69.74789915966386,30.252100840336137
base,1209,43,44,70.46818727490997,29.531812725090035
base,1216,42,43,77.77777777777779,22.22222222222222
base,1216,42,44,79.07407407407408,20.925925925925924
base,1216,43,44,76.85185185185185,23.148148148148152
base,1240,42,43,77.96976241900649,22.030237580993518
base,1240,42,44,74.73002159827213,25.269978401727865
base,1240,43,44,75.5939524838013,24.406047516198704
base,1241,42,43,73.20574162679426,26.794258373205736
base,1241,42,44,73.68421052631578,26.315789473684216
base,1241,43,44,71.77033492822966,28.229665071770338
base,1267,42,43,70.99644128113879,29.00355871886121
base,1267,42,44,69.3950177935943,30.604982206405694
base,1267,43,44,71.17437722419929,28.825622775800706
base,1269,42,43,72.22222222222221,27.77777777777778
base,1269,42,44,65.55555555555556,34.44444444444444
base,1269,43,44,68.33333333333333,31.666666666666664
base,1275,42,43,74.70355731225297,25.296442687747035
base,1275,42,44,67.58893280632411,32.41106719367589
base,1275,43,44,67.19367588932806,32.80632411067194
base,1298,42,43,65.4353562005277,34.56464379947229
base,1298,42,44,68.33773087071239,31.6622691292876
base,1298,43,44,69.65699208443272,30.343007915567277
base,1316,42,43,56.676557863501486,43.323442136498514
base,1316,42,44,49.554896142433236,50.445103857566764
base,1316,43,44,57.86350148367953,42.13649851632047
base,1329,42,43,59.25925925925925,40.74074074074075
base,1329,42,44,29.629629629629626,70.37037037037037
base,1329,43,44,46.2962962962963,53.703703703703695
base,1337,42,43,78.0564263322884,21.943573667711604
base,1337,42,44,80.25078369905955,19.749216300940443
base,1337,43,44,76.48902821316614,23.510971786833856
base,1342,42,43,69.52526799387442,30.47473200612557
base,1342,42,44,69.21898928024503,30.781010719754974
base,1342,43,44,64.47166921898928,35.52833078101072
base,1345,42,43,75.35211267605634,24.647887323943664
base,1345,42,44,73.94366197183099,26.056338028169012
base,1345,43,44,78.16901408450704,21.830985915492963
base,1349,42,43,71.32867132867133,28.671328671328666
base,1349,42,44,72.02797202797203,27.97202797202797
base,1349,43,44,71.67832167832168,28.321678321678323
base,1368,42,43,68.72037914691943,31.27962085308057
base,1368,42,44,66.35071090047393,33.64928909952607
base,1368,43,44,67.29857819905213,32.70142180094787
base,1379,42,43,66.99346405228758,33.00653594771242
base,1379,42,44,62.091503267973856,37.908496732026144
base,1379,43,44,67.3202614379085,32.6797385620915
base,1380,42,43,72.43150684931507,27.568493150684937
base,1380,42,44,70.2054794520548,29.794520547945204
base,1380,43,44,69.17808219178082,30.82191780821918
base,1384,42,43,72.60981912144703,27.39018087855297
base,1384,42,44,75.45219638242894,24.547803617571063
base,1384,43,44,76.74418604651163,23.25581395348837
base,1389,42,43,65.66037735849056,34.339622641509436
base,1389,42,44,67.54716981132076,32.45283018867925
base,1389,43,44,61.886792452830186,38.113207547169814
base,1421,42,43,70.0,30.000000000000004
base,1421,42,44,73.33333333333333,26.66666666666667
base,1421,43,44,72.91666666666666,27.083333333333336
base,1427,42,43,63.69294605809128,36.30705394190872
base,1427,42,44,66.80497925311202,33.19502074688797
base,1427,43,44,65.14522821576763,34.85477178423236
base,1428,42,43,76.47058823529412,23.529411764705888
base,1428,42,44,79.14438502673798,20.85561497326203
base,1428,43,44,75.93582887700535,24.064171122994647
base,1429,42,43,64.50939457202504,35.490605427974955
base,1429,42,44,66.17954070981212,33.820459290187884
base,1429,43,44,65.55323590814196,34.44676409185804
base,1432,42,43,70.58823529411765,29.411764705882348
base,1432,42,44,71.65775401069519,28.342245989304814
base,1432,43,44,67.37967914438502,32.62032085561497
base,1433,42,43,68.5929648241206,31.407035175879393
base,1433,42,44,67.21105527638191,32.78894472361809
base,1433,43,44,67.96482412060301,32.03517587939698
base,1457,42,43,72.49575551782682,27.504244482173178
base,1457,42,44,77.75891341256367,22.24108658743633
base,1457,43,44,71.47707979626486,28.522920203735147
base,1471,42,43,73.70030581039755,26.29969418960245
base,1471,42,44,75.94291539245668,24.057084607543324
base,1471,43,44,74.10805300713558,25.891946992864423
base,1474,42,43,74.14965986394559,25.850340136054417
base,1474,42,44,78.2312925170068,21.7687074829932
base,1474,43,44,68.70748299319727,31.292517006802722
base,1494,42,43,75.38461538461539,24.615384615384617
base,1494,42,44,61.53846153846154,38.46153846153846
base,1494,43,44,50.76923076923077,49.23076923076923
base,1510,42,43,63.541666666666664,36.458333333333336
base,1510,42,44,72.13541666666666,27.864583333333336
base,1510,43,44,63.020833333333336,36.979166666666664
base,1515,42,43,72.91666666666666,27.083333333333336
base,1515,42,44,71.25,28.749999999999996
base,1515,43,44,75.41666666666667,24.583333333333336
base,1517,42,43,80.98159509202453,19.018404907975462
base,1517,42,44,80.67484662576688,19.32515337423313
base,1517,43,44,78.83435582822086,21.165644171779142
base,1521,42,43,70.58823529411765,29.411764705882348
base,1521,42,44,72.75541795665634,27.244582043343655
base,1521,43,44,70.58823529411765,29.411764705882348
base,1545,42,43,74.11167512690355,25.888324873096447
base,1545,42,44,74.61928934010153,25.380710659898476
